Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2H-A9GJ-01A	0.0467384572873744	0	0.210755547218116	0.0750803562490811	0	0.340265261099268	0	0	0.0795264384656865	0	0.0380380791150035	0	0.0133749304468627	0.0210084136121386	0	0.0496897828282868	0	0.0756729076814819	0	0.0498498259967006	0	0	0.349	0.0470440404494448	1.06619775556136
TCGA-LN-A7HX-01A	0	0	0.0208530963321239	0.0364936560410043	0	0.199142340906377	0.0368954692027009	0	0.00261766077200365	0	0.0145422841064118	0.0232216916852501	0	0.260288930303254	0.0832196985687621	0.174571578505429	0.0944697313946759	0.0240918333671433	0.0272347388079274	0	0	0.00235729000693731	0.019	0.202495072768715	1.01744517898992
TCGA-VR-AA4D-01A	0.161700728398343	0	0.00676162652032471	0.104825188241891	0	0.222371927852609	0.116916757962068	0.0581719937573211	0.053222757042768	0	0	0	0.000773004327013608	0.150419457019132	0	0.060096011353095	0	0.0569778990648054	0	0.00776264846062945	0	0	0.448	0.0317666883826171	1.0812403850888
TCGA-L5-A893-01A	0.264916308788869	0	0.0497280402676574	0.100344169874549	0	0.161950315307266	0.00123786265952794	0.00165997090494322	0.130345657120358	0	0.0158862971464573	0	0	0.0800333271010891	0.060191287234331	0.042245606736683	0.014673288739881	0.00849693857937174	0	0.0682909295390157	0	0	0.014	0.218821778112961	1.00157870404146
TCGA-IC-A6RF-11A	0	0	0.0668279974403624	0.0978571961939404	0	0.288527706139913	0	0.0387204317585455	0.0973091383795786	0	0.0358170328351956	0	0.0607478926312793	0.0439277169308846	0.0193012682859791	0.0929269968573682	0.059652360086079	0	0	0.0671379229565193	0.0105056086440356	0.0207407308603196	0.643	0.00947955239276047	1.08301558624915
TCGA-2H-A9GI-01A	0.0692178739784032	0	0.40405993893618	0.0156888349944266	0	0.290577458071233	0.0241815183753645	0	0.0107154621536758	0	0.0311952077439022	0	0	0.0283741367138031	0	0.0142259990194563	0.00538782799639702	0.0403549520821905	0	0.049561603034994	0	0.016459186899974	0.03	0.175661703581647	1.00631241877005
TCGA-Z6-AAPN-01A	0	0	0.0300360596762029	0.140550008364256	0	0.0749844065587107	0.0804641967005765	0.0163133336695362	0.0181774859815377	0.0226855577260684	0	0.0194038886442325	0	0.215239202680359	0.13127617288542	0.137121101326638	0.07452430194182	0	0.0352072116690894	0	0	0.0040170721755534	0.027	0.180883738515924	1.02335555503777
TCGA-LN-A8I1-01A	0	0	0.0278750927769622	0.279965318404163	0	0	0.179355440073028	0.120522479453172	0.0164800039374932	0.0114256531789911	0	0.0804331902262043	0.0114839736676407	0.00333054671364787	0.0728779143141821	0.0598008316048763	0.0251925933139894	0.0815955541342318	0	0.0180509634631299	0.00592375885882281	0.00568668587946569	0.044	0.152388107551544	1.04948246514455
TCGA-LN-A49W-01A	0.0135400416147392	0	0.0743809968214252	0.0342707432971828	0	0.169593267179787	0.0645823253686512	0.0201166425239827	0.0449153646594765	0	0.0144002373947062	0	0	0.11252438148422	0.143036961704489	0.171569519023072	0.126609000102156	0	0	0.00452510840770682	0	0.00593541041840655	0.001	0.353112584175096	0.938580649758703
TCGA-V5-AASW-01A	0.049102222167459	0	0.0788355233194821	0.0488663418604983	0	0.228705329399092	0.0280015404321534	0.0489665769556951	0.146768078562106	0	0	0.047450085215086	0	0.0845355783977001	0.0825908321936587	0.019707599005224	0	0.082700850208661	0.0153053822694564	0	0	0.0384640600137282	0.247	0.0653341295035022	1.0686644307296
