ID	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Eosinophil	Gamma delta T cell	Immature  B cell	Immature dendritic cell	Macrophage	Mast cell	Memory B cell	Monocyte	Myeloid derived suppressor cell	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell
TCGA-CV-6934-01A	-0.174637432991996	0.230124875206672	0.388434866013511	0.287175934444758	0.337426072935814	0.382957287677252	0.56710755030519	0.469123918049926	0.254735081053814	0.290551470308246	-0.106459975646607	0.347688810897132	0.0234848171276598	0.380973089739162	0.129270536790483	0.142934395060093	0.138315461354154	0.358996053712717	0.488526757653413	0.361767479050792	0.18250893542762	-0.119253354195184	0.397965565690742	0.377257878268384	0.256767862155332	0.246474702212879	-0.0307944309715756	0.140371705556172
TCGA-CN-5356-01A	-0.15548836915367	0.213667971948327	0.205270589455128	0.246266335991511	0.298745302343083	0.326478966902096	0.525953692914434	0.368860227894599	0.144184594222098	0.174622784273841	-0.181294763121882	0.287864555972612	-0.0416240004147766	0.366066958968598	-0.0538303035916784	-0.017377086835194	0.0785155131509177	0.332609318882205	0.291551187913336	0.270677091458219	0.0944730061887473	-0.134558727525731	0.365215094207162	0.129503708925907	0.187680170145398	0.12901916267147	-0.00185843257240646	0.125429863900688
TCGA-CQ-6225-01A	-0.34477348084298	0.178102461360662	0.119890855154208	0.216244859123498	0.332261057716084	0.332650404396821	0.465234232057253	0.344693302442013	0.163810575047418	0.0857826420023649	-0.206143532586736	0.262325900093122	-0.198432745946713	0.378390490211195	-0.0677229428004883	-0.105927761821155	0.110785227685455	0.316370335078567	0.142085324103474	0.148750592989477	0.0491146540772398	-0.0460282103548572	0.368954145651123	-0.016854501470462	0.0860423753656845	0.0320289810537737	-0.0559371887223774	0.0536438858892322
TCGA-D6-6824-01A	-0.0685161819489515	0.216289292636156	0.354816884374823	0.285725799571314	0.328226329452406	0.334137599784849	0.553131599422062	0.423874808836918	0.219964948419983	0.300645592059315	-0.124662744940295	0.358280449708893	0.0391921446792682	0.456804454475319	0.119947257269561	0.129330630230998	0.0992893851355854	0.400402249842624	0.468598217116662	0.35131306833133	0.129631622288137	-0.00872569214167276	0.450277295527626	0.36966774689372	0.190880821143532	0.203018425779575	0.00467409711720021	0.179928840167636
TCGA-CV-6003-01A	-0.208323220043049	0.222396425202268	0.158204403586983	0.251224836534874	0.312848402253134	0.322203636807292	0.503218563713674	0.320977719303663	0.147140017708509	0.10198157224092	-0.235052067785534	0.300316867601992	-0.0980892755520096	0.340880972348809	-0.00120810696710912	-0.0469323238118088	0.0321041949118616	0.339003989791118	0.212244315121287	0.192958972104922	0.0959717055665351	-0.0190296457221643	0.351683058605271	0.143731957828561	0.081502299928799	0.0737395179678554	-0.0610778400027163	0.151912140351278
TCGA-CV-A45V-01A	-0.21639130448702	0.243156263271145	0.331988950909808	0.256266054171147	0.308714699303644	0.327623094391125	0.541897552912504	0.372964051782732	0.187928815347157	0.261874476312794	-0.128667171832313	0.362830864550681	-0.0423300271878183	0.402154495193824	0.0290471569123349	0.119846743578129	0.0259740478667565	0.335915243475203	0.348257875952773	0.288718437343802	0.0770203737663126	0.0968182572587193	0.375733912247541	0.189833982058374	0.179871133376589	0.162236170281229	-0.0253114432815572	0.149058539787663
TCGA-CV-A45Z-01A	-0.202918884522166	0.233015276346528	0.337546769612901	0.251726351731775	0.333610343736315	0.362887113169738	0.538627334286277	0.341261057392088	0.129244395485359	0.228366415639086	-0.21391160474641	0.323314985735356	-0.0411683260375077	0.363687879899935	0.0157791012166535	-0.0777516193787823	0.076086266493631	0.334464560754116	0.351815772478179	0.275903079164115	0.110158076063175	-0.114797481081484	0.391134131632004	0.153955105647728	0.180090398436062	0.127438149546706	-0.0118144546606584	0.11525016921838
TCGA-CV-6961-01A	-0.328203431265839	0.270738707324162	0.17261006635149	0.276292271115336	0.304082982042262	0.329660699679753	0.516910563985325	0.4349654342509	0.19883165394387	0.201492283505985	-0.111657217884372	0.319011103592431	-0.11260593843224	0.355472010453396	-0.00601360930069602	0.105622009807561	0.0712780400216529	0.325674440552073	0.327048612926629	0.343928425702289	0.149603984861699	0.0343110264015835	0.401818172259479	0.191514597083042	0.168659915129109	0.182971056331809	-0.040871852799663	0.25408188298601
TCGA-QK-A6V9-01A	-0.0105283168809761	0.407341795099337	0.429881518748291	0.290306111248609	0.310040729538988	0.322692159995726	0.490510542723635	0.253867541637749	0.18425597336898	0.290802733902172	-0.104569919040915	0.280715776672577	0.0315562859709736	0.367680653918378	-0.00506826100234452	-0.0744459921235431	0.0945492599873662	0.337660915502551	0.354838360035115	0.241674869983861	0.118275907364805	-0.177528111347376	0.359291598108274	0.066418292839759	0.126244285260287	0.154016337434074	-0.0455510793866033	0.177957029079915
TCGA-CQ-A4CE-01A	-0.184392971580625	0.210485734645337	0.318118845308601	0.242034260371154	0.280433162513036	0.32992364903024	0.500525202938087	0.31646862172849	0.154638696980739	0.228354249101748	-0.137975589046249	0.30518510178493	-0.0559339948380305	0.372773350146679	-0.036354376830615	0.00786016599244725	0.0382678695226997	0.344180746904678	0.281836164371899	0.207331114977588	0.0422617996627201	0.163950196901855	0.408230480863678	0.0962932789858191	0.150395136243172	0.123260268850812	-0.000211817986533892	0.156309005026793
